"id","nume","diacritice","judet","auto","zip","populatie","lat","lng"
"1","Buftea","Buftea","Ilfov","IF","70000","19202","44.5629744","25.9388214"
"2","Buciumeni","Buciumeni","Ilfov","IF","70000","2976","44.5460939","25.9574846"
"3","Otopeni","Otopeni","Ilfov","IF","75100","12540","44.5671874","26.0835113"
"4","Odaile","Odăile","Ilfov","IF","75100","1321","44.5435944","26.0487028"
"5","1 Decembrie","1 Decembrie","Ilfov","IF","77005","7817","44.2862871","26.0540403"
"6","Copaceni","Copăceni","Ilfov","IF","77006","3131","44.2705494","26.0832726"
"7","Afumati","Afumaţi","Ilfov","IF","77010","7919","44.5189626","26.2396449"
"8","Balotesti","Baloteşti","Ilfov","IF","77015","6286","44.6224456","26.1102518"
"9","Dumbraveni","Dumbrăveni","Ilfov","IF","77015","519","44.6359645","26.1156689"
"10","Saftica","Săftica","Ilfov","IF","77015","1509","44.6277353","26.0684344"
"11","Berceni","Berceni","Ilfov","IF","77020","5942","44.3122991","26.1883996"
"12","Bragadiru","Bragadiru","Ilfov","IF","77025","15329","44.3815998","25.9956853"
"13","Branesti","Brăneşti","Ilfov","IF","77145","7305","44.45","26.333333"
"14","Islaz","Islaz","Ilfov","IF","77031","1609","44.461218","26.3883149"
"15","Pasarea","Pasărea","Ilfov","IF","77032","1325","44.471466","26.3220198"
"16","Vadu Anei","Vadu Anei","Ilfov","IF","77033","128","44.4228074","26.3541407"
"17","Cernica","Cernica","Ilfov","IF","77035","3136","44.4189725","26.2799064"
"18","Balaceanca","Bălăceanca","Ilfov","IF","77035","2865","44.3908015","26.2892126"
"19","Caldararu","Căldăraru","Ilfov","IF","77037","1176","44.4141479","26.259505"
"20","Posta","Poşta","Ilfov","IF","77038","599","44.3775772","26.3103375"
"21","Tanganu","Tânganu","Ilfov","IF","77039","3110","44.4029353","26.3148947"
"22","Chiajna","Chiajna","Ilfov","IF","77040","4511","44.4584095","25.9733521"
"23","Dudu","Dudu","Ilfov","IF","77041","1728","44.4553447","25.9859332"
"24","Rosu","Roşu","Ilfov","IF","77042","8020","44.4467658","26.0009209"
"25","Chitila","Chitila","Ilfov","IF","77045","12768","44.509892","25.9845856"
"26","Rudeni","Rudeni","Ilfov","IF","77046","1416","44.4749519","25.9661158"
"27","Ciolpani","Ciolpani","Ilfov","IF","77050","2828","44.72724","26.10957"
"28","Izvorani","Izvorani","Ilfov","IF","77051","641","44.6953456","26.1209458"
